,Id,Id2,FIPS,,White,Black,American_Indian_and_Alaska_Native,Asian,Asian_Indian,Japanese,Korean,Vietnamese,Other_Asian,Hispanic_or_Latino,Mexican,Puerto_Rican,Cuban,Other_Hispanic_or_Latino
43,1400000US11001002701,11001002701,Census Tract 27.01,,72.8,15,0.6,2.5,0,0.3,0.5,0.9,0.2,20.7,0.5,0.7,0.5,19
44,1400000US11001002702,11001002702,Census Tract 27.02,,65.6,24.2,0,2.3,0.5,0,0.3,0.7,0.5,24.5,0.5,1,0,23
45,1400000US11001002801,11001002801,Census Tract 28.01,,35.9,39,0,3.6,0.5,0,0,0.5,2.2,40,9.4,0,1.5,29.1
46,1400000US11001002802,11001002802,Census Tract 28.02,,53.5,24.6,0,4.4,0.8,1.1,0.2,1.4,0.3,45.4,5.1,0.5,0.6,39.2
47,1400000US11001002900,11001002900,Census Tract 29,,46.7,31.4,0.2,2.1,0.7,0,0,0.2,0.7,30.7,4,0.5,0.6,25.6
48,1400000US11001003000,11001003000,Census Tract 30,,43.7,49.2,0.2,4.7,1.8,0,1.7,0,0,7.4,1.4,0,0.5,5.5
49,1400000US11001003100,11001003100,Census Tract 31,,34.6,31.1,6.3,4.8,1.1,0,0,0.2,0.6,41.5,3.8,0.3,0,37.4
50,1400000US11001003200,11001003200,Census Tract 32,,33.7,55.3,0.4,3.3,0.9,0.2,0,1.1,0.1,27.8,1.9,0.6,0.2,25.1
51,1400000US11001003301,11001003301,Census Tract 33.01,,43.6,42.3,0,2.5,1,0.2,0.3,0,1.1,8.5,5.6,0.4,0.6,1.9
52,1400000US11001003302,11001003302,Census Tract 33.02,,34,53.3,0,4.6,2,0,0.2,0,0.4,8.9,0.3,1,0.9,6.7
53,1400000US11001003400,11001003400,Census Tract 34,,24.4,66.8,0.1,2.1,0.6,0,0.1,0.1,0,10.9,2.7,1.7,0,6.5
54,1400000US11001003500,11001003500,Census Tract 35,,22.3,67.1,0,4.4,0.4,0,0.2,2.5,0.4,11.4,0.9,0.1,0.3,10.2
55,1400000US11001003600,11001003600,Census Tract 36,,51.8,34.9,0,4.4,0.2,0,0.5,0,1.3,12.2,1.6,0.7,0.5,9.4
56,1400000US11001003700,11001003700,Census Tract 37,,49.9,38.9,0.3,3.9,1.3,0,1.3,0.6,0.3,23.4,4.3,1.1,0.2,17.8
57,1400000US11001003800,11001003800,Census Tract 38,,69.3,14.7,0,5.7,2.6,0.5,0,0,1.7,18.2,3.9,0,0.4,14
58,1400000US11001003900,11001003900,Census Tract 39,,77.6,11.1,0.3,6.7,1.9,0.1,0.7,0,0.8,11,2,3.2,0,5.8
59,1400000US11001004001,11001004001,Census Tract 40.01,,91.9,2.4,0,4.7,0.7,1.4,0.4,1.3,0.5,7.5,3.1,0,0,4.5
60,1400000US11001004002,11001004002,Census Tract 40.02,,80.8,7.8,0.2,7.3,3.5,0,0.7,0.2,0.4,7.5,1.5,0.3,0.4,5.3
61,1400000US11001004100,11001004100,Census Tract 41,,86.1,4.2,0.1,7.1,1.1,0.8,0,0,3.2,10.5,1.9,1.5,0.6,6.6
62,1400000US11001004201,11001004201,Census Tract 42.01,,82.7,8.6,0.5,4.6,1.4,0,1.3,0.4,0,7.4,1.1,0,0,6.4
63,1400000US11001004202,11001004202,Census Tract 42.02,,81.1,2.8,0.7,9.7,3.5,0.3,1.3,0.7,1,8.9,2.9,2.4,0,3.6
64,1400000US11001004300,11001004300,Census Tract 43,,64.4,26,0,2.4,0.8,0,0.4,0,0,14.3,2.1,0.8,0,11.4
65,1400000US11001004400,11001004400,Census Tract 44,,68.4,21.7,0,3.9,0.5,0.3,0,0.3,1.4,9,1.1,0.6,0,7.3
66,1400000US11001004600,11001004600,Census Tract 46,,34.1,58.7,2.8,3.1,0.9,0,0.5,0.5,0,4.5,0.3,0.6,0,3.6
67,1400000US11001004701,11001004701,Census Tract 47.01,,19.4,65.4,0,10.9,1.6,2.4,0,0,0.8,5.7,0.5,0,0.5,4.8
68,1400000US11001004702,11001004702,Census Tract 47.02,,49.6,41.6,0,7.9,2.5,1.1,1.4,0,1.5,3.5,1.2,0,0.3,2.1
69,1400000US11001004801,11001004801,Census Tract 48.01,,37.8,47.9,0,10.3,0,0,0,0,2.4,5,3.8,0,0,1.2
70,1400000US11001004802,11001004802,Census Tract 48.02,,29.6,48.8,0,14.3,0,0.8,0.4,1,1.8,13.2,1.1,0,0.2,11.8
71,1400000US11001004901,11001004901,Census Tract 49.01,,46.7,40.3,0,7,0.5,0.1,0.3,0,1,18.9,12.9,2.5,0,3.5
72,1400000US11001004902,11001004902,Census Tract 49.02,,60.5,26.3,0,8.6,3,0.2,0.3,1,1.8,16.3,2.6,1,0,12.6
73,1400000US11001005001,11001005001,Census Tract 50.01,,58.9,23.9,0,2.6,0.6,0,0.7,0,0.5,5,0.2,0.6,0,4.1
74,1400000US11001005002,11001005002,Census Tract 50.02,,54.9,20.5,0,4.9,1.1,0.4,1.6,0.4,0,29,7.3,0,0.2,21.5
75,1400000US11001005201,11001005201,Census Tract 52.01,,79,5.3,0.2,6.8,2.9,0,0.3,0,0.7,11,3,0,1,7
76,1400000US11001005301,11001005301,Census Tract 53.01,,80.8,3.4,1.4,9.9,1.7,1.8,2.3,0.3,1.6,6,0.4,0.9,0.3,4.5
77,1400000US11001005500,11001005500,Census Tract 55,,76.4,4.8,1.4,12.9,3.3,0.2,0.2,0.5,2.3,9.9,0.8,0.8,0,8.3
78,1400000US11001005600,11001005600,Census Tract 56,,74.1,6.5,0,13.8,5.8,0.1,2.4,0,3,10,0.6,1.8,0.6,7
79,1400000US11001005800,11001005800,Census Tract 58,,61.9,8.5,0,22,2.2,0.3,3.2,3.8,0.6,9,4.7,1.2,0,3.2
80,1400000US11001005900,11001005900,Census Tract 59,,59.4,23.1,0,10.7,3,0.9,3.3,0,1.3,8.2,4.1,1,0.3,2.8
81,1400000US11001006202,11001006202,Census Tract 62.02,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,1400000US11001006400,11001006400,Census Tract 64,,5.2,90.8,0.5,2.7,0,0,0,0,0,3,0,2.2,0,0.8
83,1400000US11001006500,11001006500,Census Tract 65,,87.3,8.4,0,1.7,0,0,0,0,0.6,4.8,0.2,0,0,4.6
84,1400000US11001006600,11001006600,Census Tract 66,,90,3.7,2.3,3.2,0,0,0,0.6,0,3.4,2.3,0,0,1.1
85,1400000US11001006700,11001006700,Census Tract 67,,82.1,11,0,4.4,0.3,0,0.3,0.3,0.6,3.5,0.9,0.4,0.7,1.4
86,1400000US11001006801,11001006801,Census Tract 68.01,,32.2,63,0.2,1.9,0,0,0.7,0.7,0,1.5,0.2,0.2,0.3,0.8
87,1400000US11001006802,11001006802,Census Tract 68.02,,50.2,38.3,0.9,1.8,0.2,0,0.3,0,0,7.1,3.5,0,0.3,3.3
88,1400000US11001006804,11001006804,Census Tract 68.04,,3.1,92.2,0,0,0,0,0,0,0,4.5,0.9,0.2,0.2,3.2
89,1400000US11001006900,11001006900,Census Tract 69,,70.8,25.9,0,1.9,0.3,0,0,0,0.7,2.5,0.7,0.7,0.3,0.7
90,1400000US11001007000,11001007000,Census Tract 70,,76.4,13.6,0,0.7,0,0,0,0,0.3,9.6,3.1,1.2,0,5.3
91,1400000US11001007100,11001007100,Census Tract 71,,35.2,59.7,0,2.4,0.3,0,0.5,0,0.3,5.5,0,0.6,0,4.9
92,1400000US11001007200,11001007200,Census Tract 72,,68.2,24.8,0.2,4,1.1,0,1.5,0.6,0,3.2,1.1,1.1,0.3,0.7
93,1400000US11001007301,11001007301,Census Tract 73.01,,66.9,24.9,0.4,1.6,0,0,0,0.4,0,9.1,5.4,1.1,0,2.5
94,1400000US11001007304,11001007304,Census Tract 73.04,,2.9,95.6,0,0,0,0,0,0,0,1.7,1,0,0,0.7
95,1400000US11001007401,11001007401,Census Tract 74.01,,0.2,99.4,0,0.4,0,0.2,0,0,0,1.8,0,0.4,0,1.3
96,1400000US11001007403,11001007403,Census Tract 74.03,,0.5,98,0,0,0,0,0,0,0,3.5,1.9,0,0,1.5
