GEO.id,FIPS,GEO.display-label,HD01_VD01,,HD01_VD02,HD01_VD02A,HD01_VD03,HD01_VD03A,HD01_VD04,HD01_VD04A,HD01_VD05,HD01_VD05A,HD01_VD06,HD01_VD06A,HD01_VD07,HD01_VD07A,HD01_VD08,HD01_VD08A,HD01_VD09,HD01_VD09A,HD01_VD10,HD01_VD10A
Id,Id2,Geography,Estimate; Total:,,Estimate; Total: - White alone,White,Estimate; Total: - Black or African American alone,Black,Estimate; Total: - American Indian and Alaska Native alone,American Indian or Alaskan Native,Estimate; Total: - Asian alone,,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,,Estimate; Total: - Some other race alone,,Estimate; Total: - Two or more races:,,Estimate; Total: - Two or more races: - Two races including Some other race,,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races",
0500000US51051,51051,"Dickenson County, Virginia",15612,,15376,98.48,118,0.75,0,0,13,0.08326928,0,0,8,0.051242634,97,0.621316936,48,0.307455803,49,0.313861132
0500000US51053,51053,"Dinwiddie County, Virginia",27993,,18137,64.79,9166,32.74,30,0.10716965,90,0.321508949,0,0,110,0.392955382,460,1.64326796,112,0.400100025,348,1.243167935
0500000US51057,51057,"Essex County, Virginia",11166,,6566,58.8,4170,37.34,81,0.725416443,0,0,0,0,17,0.152247895,332,2.97331184,7,0.06269031,325,2.91062153
0500000US51059,51059,"Fairfax County, Virginia",1117072,,705991,63.2,104083,9.31,3630,0.324956672,202094,18.09140324,814,0.072869072,51513,4.611430597,48947,4.381722933,7874,0.704878468,41073,3.676844465
0500000US51061,51061,"Fauquier County, Virginia",66726,,58451,87.59,5030,7.53,111,0.166351947,767,1.149476966,39,0.058447981,307,0.460090519,2021,3.028804364,62,0.092917304,1959,2.935887061
0500000US51063,51063,"Floyd County, Virginia",15452,,14809,95.83,323,2.09,22,0.142376391,170,1.100181206,0,0,10,0.064716542,118,0.76365519,37,0.239451204,81,0.524203987
0500000US51065,51065,"Fluvanna County, Virginia",25945,,20917,80.62,3637,14.01,24,0.092503373,166,0.639814993,0,0,358,1.379841973,843,3.24918096,36,0.138755059,807,3.110425901
0500000US51067,51067,"Franklin County, Virginia",56360,,50315,89.27,4724,8.38,57,0.101135557,152,0.269694819,0,0,381,0.676011356,731,1.297019163,44,0.078069553,687,1.21894961
0500000US51069,51069,"Frederick County, Virginia",80377,,73235,91.11,3615,4.49,100,0.1244137,1152,1.433245829,13,0.016173781,875,1.088619879,1387,1.725618025,142,0.176667455,1245,1.54895057
0500000US51071,51071,"Giles County, Virginia",17025,,16438,96.55,211,1.23,75,0.440528634,95,0.558002937,15,0.088105727,61,0.358296623,130,0.763582966,11,0.064610866,119,0.6989721
